draw_number,date,machine_name,N1,N2,N3,N4,N5,tickets_sold,jackpot,div1_wniners,div1_prize,div2_wniners,div2_prize,div3_wniners,div3_prize,div4_wniners,div4_prize,total_sales_R,total_winners,total_winnings
1754,01-January-2024,NG 2,2,3,14,17,32,657171,350929.5,3,116976.5,221,365.8,7491,21.6,77094,5.1,1971513,84809,986756.3
1755,02-January-2024,NG 2,16,19,27,30,33,953277,509049.8,1,509049.8,395,296.8,11494,20.4,112571,5.1,2859831,124461,1434875.5
1756,03-January-2024,NG 2,2,10,25,31,34,1019063,544179.6,1,544179.6,349,359.2,11443,21.9,117679,5.1,3057189,129472,1520305.0
1757,04-January-2024,NG 2,3,7,14,19,34,1040679,555722.7,3,185240.9,445,287.7,13286,19.3,127523,4.9,3122037,141257,1565031.7
1758,05-January-2024,NG 2,3,6,18,29,34,1198691,640100.9,1,640100.9,559,263.7,14316,20.6,141371,5.1,3596073,156247,1803410.9
1759,06-January-2024,NG 2,8,17,21,29,32,995604,531652.8,6,88608.8,389,314.8,11527,21.2,114688,5.1,2986812,126610,1483391.2
1760,07-January-2024,NG 2,4,20,25,29,31,724767,387025.3,1,387025.3,261,341.6,8040,22.2,82828,5.3,2174301,91130,1093659.3
1761,08-January-2024,NG 2,4,12,19,23,26,928790,495974.0,4,123993.5,434,263.2,12195,18.7,110702,5.0,2786370,123335,1391759.3
1762,09-January-2024,NG 2,3,6,13,17,27,1058696,565343.6,4,141335.9,542,240.3,13790,18.9,129810,4.9,3176088,144146,1592286.2
1763,10-January-2024,NG 2,3,4,9,13,19,973326,519756.0,5,103951.2,405,295.6,13173,18.2,123470,4.7,2919978,137053,1459531.6
1764,11-January-2024,NG 2,9,14,18,27,32,981496,550000.0,1,550000.0,410,294.4,12215,19.7,115363,5.0,2944488,127989,1488154.5
1765,12-January-2024,NG 2,1,8,25,34,36,1269389,750000.0,2,375000.0,533,293.0,15365,20.4,150094,5.1,3808167,165994,1985094.4
1766,13-January-2024,NG 2,5,7,9,11,30,933116,500000.0,0,500000.0,594,1032.0,13536,16.9,118564,4.7,2799348,132694,1399017.2
1767,14-January-2024,NG 2,10,19,27,33,35,659650,352253.1,3,117417.7,282,287.8,8593,18.9,79711,4.9,1978950,88589,986404.3
1768,15-January-2024,NG 2,5,25,27,33,34,881267,470596.5,3,156865.5,273,397.1,10193,21.3,102339,5.1,2643801,112808,1318044.6
1769,16-January-2024,NG 2,7,9,25,28,34,1046155,558646.8,3,186215.6,394,326.6,12684,20.3,125661,5.0,3138465,138742,1573117.4
1770,17-January-2024,NG 2,3,17,20,24,33,920569,491584.0,4,122896.0,475,238.4,12265,18.4,110816,5.0,2761707,123560,1384580.0
1771,18-January-2024,NG 2,12,15,22,29,31,924246,493547.2,4,123386.8,433,262.5,12210,18.6,109293,5.0,2772738,121940,1380780.7
1772,19-January-2024,NG 2,9,10,21,32,35,1101336,588113.6,4,147028.4,397,341.2,12869,21.1,130003,5.1,3304008,143273,1658121.2
1773,20-January-2024,NG 2,5,6,14,30,33,888286,500000.0,2,250000.0,305,358.2,10083,21.7,104835,5.0,2664858,115225,1352227.1
1774,21-January-2024,NG 2,1,4,18,19,22,629253,300000.0,0,300000.0,280,1476.5,7929,19.5,78068,4.8,1887759,86277,942761.9
1775,22-January-2024,NG 2,2,9,18,31,34,806579,430713.2,2,215356.6,301,329.6,9416,21.1,94283,5.1,2419737,104002,1209443.7
1776,23-January-2024,NG 2,15,22,23,25,36,972315,519216.2,1,519216.2,322,371.5,11831,20.2,115253,5.1,2916945,127407,1465615.7
1777,24-January-2024,NG 2,9,11,22,26,27,881596,470772.3,1,470772.3,401,270.4,11286,19.2,107801,4.9,2644788,119489,1324118.8
1778,25-January-2024,NG 2,1,3,11,12,32,1046151,600000.0,3,200000.0,382,336.8,12947,19.9,126652,4.9,3138453,139984,1606897.7
1779,26-January-2024,NG 2,2,10,17,21,33,1397899,750000.0,8,93750.0,649,264.9,17636,19.5,168088,5.0,4193697,186381,2106262.1
1780,27-January-2024,NG 2,10,14,27,29,32,1066350,569431.0,2,284715.5,377,348.0,12610,20.8,122224,5.1,3199050,135213,1586257.4
1781,28-January-2024,NG 2,9,14,15,34,35,754822,403074.8,2,201537.4,291,319.0,8615,21.5,89631,5.1,2264466,98539,1138244.4
1782,29-January-2024,NG 2,8,10,11,22,23,962982,514232.4,1,514232.4,440,269.2,12198,19.4,119976,4.8,2888946,132615,1445206.4
1783,30-January-2024,NG 2,3,10,16,29,30,1125034,600768.3,3,200256.1,438,316.0,13434,20.6,132816,5.0,3375102,146691,1679996.7
1784,31-January-2024,NG 2,4,9,10,12,29,1101574,588240.4,2,294120.2,484,279.9,13904,19.5,135223,4.9,3304722,149613,1657432.7
1785,01-February-2024,NG 2,10,18,28,34,35,1146814,612398.7,3,204132.9,431,327.3,13522,20.9,133198,5.1,3440442,147154,1715384.6
1786,02-February-2024,NG 2,11,13,16,20,33,1428014,762559.4,2,381279.7,598,293.7,18065,19.4,174260,4.9,4284042,192925,2142527.0
1787,03-February-2024,NG 2,5,8,22,33,36,1099183,586964.0,10,58696.4,462,292.7,14004,19.4,134938,4.9,3297549,149414,1655065.2
1788,04-February-2024,NG 2,1,2,11,18,23,769184,410744.0,1,410744.0,298,317.4,9883,19.1,93530,4.9,2307552,103712,1152391.5
1789,05-February-2024,NG 2,3,10,12,14,28,1009758,539210.8,4,134802.7,429,289.5,12918,19.2,123659,4.9,3029274,137010,1517361.0
1790,06-February-2024,NG 2,8,16,21,32,33,1129236,603012.0,3,201004.0,460,302.0,13316,20.9,132050,5.1,3387708,145829,1693691.4
1791,07-February-2024,NG 2,7,10,11,19,32,1020404,544895.8,1,544895.8,448,280.1,13659,18.4,129178,4.7,3061212,143286,1528842.8
1792,08-February-2024,NG 2,2,16,24,27,33,1055201,563477.2,4,140869.3,421,308.3,12333,21.0,122959,5.1,3165603,135717,1579355.4
1793,09-February-2024,NG 2,10,24,29,34,36,1176642,650000.1,3,216666.7,437,331.2,14060,20.6,139007,5.1,3529926,153507,1793306.2
1794,10-February-2024,NG 2,7,12,16,24,29,938913,501379.2,6,83563.2,372,310.4,11858,19.5,111912,5.0,2816739,124148,1407639.0
1795,11-February-2024,NG 2,9,10,13,14,17,662681,353871.8,2,176935.9,259,314.8,8533,19.0,82372,4.8,1988043,91166,992917.6
1796,12-February-2024,NG 2,3,14,27,30,34,871257,465251.3,1,465251.3,289,370.8,9819,21.9,99664,5.2,2613771,109773,1305701.4
1797,13-February-2024,NG 2,7,8,16,26,30,963530,514525.0,2,257262.5,355,333.8,11185,21.2,113047,5.1,2890590,124589,1446685.7
1798,14-February-2024,NG 2,1,4,10,29,36,857199,457744.3,1,457744.3,319,330.6,10625,19.8,103359,4.9,2571597,114304,1280039.8
1799,15-February-2024,NG 2,2,10,16,19,34,933726,498609.8,2,249304.9,385,298.3,11661,19.7,112757,5.0,2801178,124805,1406962.0
1800,16-February-2024,NG 2,1,14,18,20,32,1088332,550000.0,0,550000.0,368,1943.0,12730,21.0,126989,5.1,3264996,140087,1629997.9
1801,17-February-2024,NG 2,8,10,15,25,28,874314,466883.7,1,466883.7,337,319.1,11010,19.6,104885,5.0,2622942,116233,1314641.4
1802,18-February-2024,NG 2,5,6,16,17,33,617391,329686.8,1,329686.8,228,333.1,7751,19.6,76676,4.8,1852173,84656,925598.0
1803,19-February-2024,NG 2,1,2,5,26,27,798691,426501.0,1,426501.0,266,369.3,9759,20.1,91722,5.2,2396073,101748,1197845.1
1804,20-February-2024,NG 2,7,13,22,30,32,915998,489142.8,3,163047.6,346,325.6,11019,20.5,108137,5.0,2747994,119505,1368374.9
1805,21-February-2024,NG 2,1,9,16,35,36,798375,426332.4,2,213166.2,332,295.8,9777,20.0,95524,5.0,2395125,105635,1197698.0
1806,22-February-2024,NG 3,5,13,15,16,29,836398,446636.4,2,223318.2,318,323.5,10022,20.6,98099,5.1,2509194,108441,1256267.5
1807,23-February-2024,NG 3,4,19,25,26,33,1214544,750000.0,5,150000.0,489,305.5,14854,20.1,143967,5.1,3643632,159315,1932186.6
1808,24-February-2024,NG 3,1,2,11,15,20,986491,526786.2,1,526786.2,414,293.1,12637,19.2,120770,4.8,2959473,133822,1470456.0
1809,25-February-2024,NG 3,15,21,26,27,28,703623,300000.0,0,300000.0,264,1751.1,7954,21.7,79974,5.3,2110869,88192,1058754.4
1810,26-February-2024,NG 2,3,4,9,32,36,934446,480000.0,0,480000.0,339,1811.0,11349,20.3,114847,4.8,2803338,126535,1395579.3
1811,27-February-2024,NG 2,11,20,27,33,36,1127218,601934.4,3,200644.8,428,323.9,14386,19.3,135857,5.0,3381654,150674,1697498.4
1812,28-February-2024,NG 2,4,17,26,27,29,985338,526170.6,3,175390.2,353,343.4,11570,20.9,114519,5.1,2956014,126445,1473250.7
1813,29-February-2024,NG 2,7,14,16,21,28,1410820,850000.0,2,425000.0,1049,165.4,18255,19.0,167739,5.0,4232460,187045,2209044.6
1814,01-March-2024,NG 2,20,22,24,29,31,1410442,753176.1,3,251058.7,556,312.0,16898,20.6,164851,5.1,4231326,182308,2115487.0
1815,02-March-2024,NG 2,6,9,15,16,36,1068504,570581.0,2,285290.5,478,275.0,13982,18.7,129368,5.0,3205512,143830,1610334.4
1816,03-March-2024,NG 2,6,7,15,24,34,755653,300000.0,0,300000.0,299,1660.4,8771,21.3,89050,5.1,2266959,98120,1137436.9
1817,04-March-2024,NG 2,6,9,12,18,27,976323,521356.5,7,74479.5,514,233.6,13803,17.4,119629,4.8,2928969,133953,1455818.3
1818,05-March-2024,NG 2,3,4,6,8,23,1225538,654437.4,6,109072.9,529,285.0,16603,18.1,152135,4.8,3676614,169273,1835964.7
1819,06-March-2024,NG 2,4,9,12,28,30,1084070,578893.3,1,578893.3,446,299.0,13565,19.7,129214,5.1,3252210,143226,1638469.2
1820,07-March-2024,NG 2,3,12,13,22,28,1099073,586905.0,3,195635.0,491,275.3,13532,20.0,131994,4.9,3297219,146020,1639487.9
1821,08-March-2024,NG 2,10,11,12,15,21,1305630,750000.0,3,250000.0,513,313.0,16472,19.5,160152,4.9,3916890,177140,2016517.8
1822,09-March-2024,NG 2,11,16,18,20,29,989550,528419.7,1,528419.7,420,289.9,12586,19.3,118417,5.0,2968650,131424,1485172.5
1823,10-March-2024,NG 2,6,7,12,18,29,688476,300000.0,0,300000.0,299,1512.7,8942,19.0,84511,4.8,2065428,93752,1027848.1
1824,11-March-2024,NG 2,4,9,12,16,21,897963,479512.2,3,159837.4,526,210.0,12561,17.6,111910,4.8,2693889,125000,1348213.8
1825,12-March-2024,NG 2,3,27,28,34,36,1283277,1000000.0,2,500000.0,454,347.7,14926,21.1,150822,5.1,3849831,166204,2241986.6
1826,13-March-2024,NG 2,4,8,13,15,29,1099607,1000000.0,1,1000000.0,444,304.6,13454,20.1,132626,4.9,3298821,146525,2055535.2
1827,14-March-2024,NG 2,11,24,27,32,35,1133168,1000000.0,2,500000.0,459,303.7,13247,21.1,130849,5.2,3399504,144557,2099324.8
1828,15-March-2024,NG 2,4,8,23,24,34,1414268,999999.9,3,333333.3,591,294.3,17584,19.8,166873,5.1,4242804,185051,2373146.7
1829,16-March-2024,NG 2,3,13,15,25,28,1140126,1000000.0,4,250000.0,458,306.2,13894,20.1,136138,5.0,3420378,150494,2100199.0
1830,17-March-2024,NG 2,4,5,19,26,28,716002,382345.0,2,191172.5,267,329.8,8560,20.6,86429,4.9,2148006,95258,1070239.7
1831,18-March-2024,NG 2,4,5,9,27,35,894252,477530.5,5,95506.1,383,287.2,11212,19.7,110905,4.8,2682756,122505,1340748.5
1832,19-March-2024,NG 2,9,16,18,19,24,1057522,564716.8,4,141179.2,431,301.8,13968,18.6,130932,4.8,3172566,145335,1583071.0
1833,20-March-2024,NG 2,10,18,19,25,34,957530,511321.1,1,511321.1,404,291.5,11608,20.3,114298,5.0,2872590,126311,1436219.5
1834,21-March-2024,NG 2,8,17,21,22,30,854251,456170.0,1,456170.0,360,291.9,10507,20.0,102063,5.0,2562753,112931,1281709.0
1835,22-March-2024,NG 2,6,7,9,16,30,1146825,750000.0,1,750000.0,484,291.5,14695,19.2,140832,4.9,3440475,156012,1863306.8
1836,23-March-2024,NG 2,7,8,20,24,31,961112,513233.7,3,171077.9,363,325.6,11634,20.3,115435,4.9,2883336,127435,1433228.2
1837,24-March-2024,NG 2,7,9,10,27,35,698079,372774.3,1,372774.3,295,291.1,9348,18.4,86865,4.9,2094237,96509,1056290.5
1838,25-March-2024,NG 2,4,8,15,33,35,965528,515592.0,3,171864.0,346,343.2,11729,20.2,115905,4.9,2896584,127983,1439199.5
1839,26-March-2024,NG 2,2,4,5,11,18,1228179,655847.6,2,327923.8,574,263.2,18318,16.5,154603,4.8,3684537,173497,1851265.8
1840,27-March-2024,NG 2,1,3,8,10,28,1102666,588823.6,2,294411.8,569,238.4,15271,17.8,139469,4.7,3307998,155311,1651801.3
1841,28-March-2024,NG 2,2,19,22,23,30,1223361,653274.8,2,326637.4,457,329.2,14368,20.9,141989,5.1,3670083,156816,1828154.3
1842,29-March-2024,NG 2,2,11,13,23,27,1165708,750000.0,2,375000.0,478,300.0,14469,19.8,139863,5.0,3497124,154812,1879201.2
1843,30-March-2024,NG 2,1,6,13,14,35,1026961,600000.0,0,600000.0,360,2017.5,11898,21.3,119112,5.2,3080883,131370,1599109.8
1844,31-March-2024,NG 2,4,5,6,9,11,761057,406404.5,5,81280.9,428,218.7,11661,16.0,100236,4.5,2283171,112330,1137646.1
1845,01-April-2024,NG 2,5,11,18,23,31,854821,456474.4,2,228237.2,385,273.1,10526,20.0,102078,5.0,2564463,112991,1282527.9
1846,02-April-2024,NG 2,14,24,31,33,36,1149498,613832.0,4,153458.0,417,339.1,13676,20.7,131889,5.2,3448494,145986,1724152.7
1847,03-April-2024,NG 2,2,8,22,27,36,1125304,600912.0,5,120182.4,410,337.6,13797,20.1,134177,5.0,3375912,148389,1687532.7
1848,04-April-2024,NG 2,1,8,21,26,29,1153666,616057.9,1,616057.9,459,309.1,13118,21.6,132484,5.2,3460998,146062,1730200.4
1849,05-April-2024,NG 2,2,10,11,33,35,1372618,732978.0,3,244326.0,519,325.3,16293,20.7,164953,5.0,4117854,181768,2063838.8
1850,06-April-2024,NG 2,4,17,30,33,35,1058874,580000.0,0,580000.0,360,1932.5,12384,21.1,121734,5.1,3176622,134478,1577845.8
1851,07-April-2024,NG 2,2,4,7,14,23,764917,408465.6,2,204232.8,385,244.4,10458,17.9,96417,4.8,2294751,107262,1152559.4
1852,08-April-2024,NG 2,8,11,14,28,31,960429,512869.2,1,512869.2,329,359.0,11590,20.4,114602,5.0,2881287,126522,1440426.2
1853,09-April-2024,NG 2,2,8,26,28,31,1100041,587421.9,1,587421.9,400,338.3,12729,21.3,124536,5.3,3300123,137666,1653910.4
1854,10-April-2024,NG 2,6,10,21,27,35,997909,532883.4,2,266441.7,373,329.0,12019,20.4,119290,5.0,2993727,131684,1497238.0
1855,11-April-2024,NG 2,2,5,9,26,34,1018036,543631.2,3,181210.4,518,241.8,12731,19.7,122199,4.9,3054108,135451,1518459.4
1856,12-April-2024,NG 2,9,11,19,31,34,1137873,607624.0,5,121524.8,425,329.3,13826,20.2,138963,4.9,3413619,153219,1707780.4
1857,13-April-2024,NG 2,6,8,13,23,31,933805,500000.0,0,500000.0,382,1606.0,11765,19.5,110869,5.1,2801415,123016,1408341.4
1858,14-April-2024,NG 2,2,7,26,31,34,672309,359013.0,1,359013.0,261,316.9,7735,21.5,77099,5.1,2016927,85096,1001231.3
1859,15-April-2024,NG 2,1,12,13,17,25,931889,497628.7,1,497628.7,330,347.3,11134,20.6,109552,5.1,2795667,121017,1400313.3
1860,16-April-2024,NG 2,2,4,9,22,27,1047890,559573.2,3,186524.4,502,256.8,14495,17.8,131647,4.8,3143670,146647,1578403.4
1861,17-April-2024,NG 2,8,18,29,33,34,960808,513071.6,4,128267.9,334,353.8,11408,20.7,113303,5.0,2882424,125049,1433901.4
1862,18-April-2024,NG 2,15,19,28,33,34,964141,514851.3,1,514851.3,363,326.7,11012,21.5,114236,5.1,2892423,125612,1452805.0
1863,19-April-2024,NG 2,4,6,23,29,32,1111372,593472.6,2,296736.3,407,335.8,12771,21.4,130444,5.0,3334116,143624,1655662.6
1864,20-April-2024,NG 2,8,14,17,28,33,899365,480260.9,1,480260.9,359,308.2,11055,20.0,106113,5.1,2698095,117528,1353181.0
1865,21-April-2024,NG 2,4,9,11,24,26,645813,300000.0,0,300000.0,263,1613.3,8564,18.6,80415,4.8,1937439,89242,969580.3
1866,22-April-2024,NG 2,4,10,12,13,36,832565,444589.8,3,148196.6,301,340.2,10253,20.0,102319,4.9,2497695,112876,1253413.1
1867,23-April-2024,NG 2,6,12,23,35,36,952189,508468.8,4,127117.2,351,333.7,11500,20.3,114566,4.9,2856567,126421,1420420.9
1868,24-April-2024,NG 2,3,5,26,28,33,882196,471092.8,2,235546.4,307,353.4,10395,20.9,105479,5.0,2646588,116183,1324237.1
1869,25-April-2024,NG 2,5,8,10,21,30,1090292,582216.0,6,97036.0,448,299.4,13824,19.4,130863,5.0,3270876,145141,1638847.8
1870,26-April-2024,NG 2,6,7,9,17,30,1252489,668829.0,5,133765.8,562,274.1,16318,18.9,155625,4.8,3757467,172510,1878283.4
1871,27-April-2024,NG 2,7,11,15,17,23,1013419,541165.5,5,108233.1,522,238.8,14215,17.5,126411,4.8,3040257,141153,1521354.4
1872,28-April-2024,NG 2,6,9,29,31,34,752005,401570.9,1,401570.9,309,299.3,9027,20.5,89279,5.0,2256015,98616,1125503.1
1873,29-April-2024,NG 2,7,9,25,26,36,1000326,534174.1,1,534174.1,369,333.4,11688,21.1,119787,5.0,3000978,131845,1502750.5
1874,30-April-2024,NG 2,1,22,30,32,35,1191901,636475.1,1,636475.1,419,349.9,13411,21.8,134825,5.3,3575703,148656,1790015.5
1875,01-May-2024,NG 2,3,7,14,20,29,1020954,545189.4,2,272594.7,461,272.4,12639,19.9,123277,4.9,3062862,136379,1526339.2
1876,02-May-2024,NG 3,2,8,25,29,31,1116194,596047.6,2,298023.8,412,333.3,12664,21.7,129806,5.1,3348582,142884,1670186.6
1877,03-May-2024,NG 3,2,5,18,24,26,1420555,758576.4,3,252858.8,543,321.8,17123,20.4,170750,5.0,4261665,188419,2136373.0
1878,04-May-2024,NG 3,9,23,24,32,34,1094868,584659.6,2,292329.8,408,330.0,12740,21.2,127419,5.1,3284604,140569,1639224.5
1879,05-May-2024,NG 3,14,17,18,28,31,768795,410536.4,1,410536.4,301,314.2,8986,21.0,88481,5.2,2306385,97769,1153917.8
1880,06-May-2024,NG 3,3,6,10,11,31,997757,532802.4,3,177600.8,410,299.3,12812,19.1,123534,4.8,2993271,136759,1493187.8
1881,07-May-2024,NG 2,1,5,11,22,28,1157529,618120.5,5,123624.1,507,280.8,14952,19.1,142320,4.9,3472587,157784,1743437.3
